"pidlink","w5_rt","w4_rt","w5_tp","w4_tp","w5_age","more_rt","less_rt","less_tp","more_tp","emp","unemp","ret","sing","marr","sep","gender","edu"
6100002,4,4,5,5,53,0,0,0,0,0,0,0,0,1,0,1,6
6100003,4,5,5,5,34,1,0,0,0,0,0,0,0,1,0,0,12
6100004,5,5,5,4,33,0,0,0,1,0,0,0,0,0,0,0,9
6110002,4,4,5,5,64,0,0,0,0,0,0,0,1,0,0,1,6
6110003,3,5,4,5,40,1,0,1,0,0,0,0,0,1,0,0,12
6110005,4,4,5,5,31,0,0,0,0,1,0,0,0,1,0,1,12
6113102,5,5,3,4,35,0,0,1,0,1,0,0,0,1,0,1,9
6114101,4,5,2,5,32,1,0,1,0,0,0,0,0,1,0,0,12
6120001,5,4,5,5,56,0,1,0,0,0,0,1,0,1,0,0,9
6120002,1,5,2,2,52,1,0,0,0,0,0,1,0,1,0,1,6
6120003,2,5,5,5,35,1,0,0,0,1,0,0,0,1,0,1,9
6130004,1,2,5,5,31,1,0,0,0,1,0,0,0,1,0,1,12
6130005,5,5,5,5,33,0,0,0,0,0,0,0,0,1,0,0,16
6140002,1,5,5,5,55,1,0,0,0,0,0,0,1,0,0,1,9
6144101,4,4,5,4,33,0,0,0,1,0,0,0,0,1,0,0,12
6144202,5,5,4,5,25,0,0,1,0,1,0,0,0,0,1,1,12
6160002,5,4,5,5,66,0,1,0,0,0,0,0,1,0,0,1,6
6170001,5,5,5,5,60,0,0,0,0,0,0,0,0,1,0,0,6
6170002,1,5,1,5,57,1,0,1,0,0,0,0,0,1,0,1,6
6170003,4,1,5,5,37,0,1,0,0,0,0,0,0,1,0,0,12
6170006,3,5,3,5,26,1,0,1,0,1,0,0,0,0,0,0,12
6180003,4,4,2,5,35,0,0,1,0,0,0,0,0,0,0,0,6
6190001,5,5,5,5,53,0,0,0,0,0,0,0,0,1,0,0,6
6190002,5,5,5,5,52,0,0,0,0,0,0,1,0,1,0,1,6
6190004,4,5,5,5,29,1,0,0,0,1,0,0,0,0,0,1,12
6190005,2,5,5,5,24,1,0,0,0,1,0,0,0,0,0,1,12
6200001,5,5,5,5,64,0,0,0,0,0,0,1,0,1,0,0,9
7010001,1,5,2,5,64,1,0,1,0,0,0,0,0,0,0,1,6
7010002,1,5,5,5,39,1,0,0,0,0,0,0,0,1,0,0,9
7014102,5,5,5,5,35,0,0,0,0,0,0,0,0,1,0,1,12
7030002,5,5,5,5,66,0,0,0,0,0,0,0,0,0,0,1,6
7030003,4,4,5,5,39,0,0,0,0,0,0,0,0,1,0,1,12
7030006,1,5,5,5,42,1,0,0,0,0,0,0,0,1,0,0,12
7030007,1,5,5,5,30,1,0,0,0,0,0,0,0,1,0,1,12
7033101,4,2,5,4,42,0,1,0,1,0,0,0,0,1,0,0,12
7040002,2,5,4,5,69,1,0,1,0,0,0,1,0,0,0,1,9
7040004,4,5,1,1,35,1,0,0,0,0,0,0,0,1,0,0,9
7050004,5,5,3,4,36,0,0,1,0,0,0,0,0,0,0,0,12
7060001,3,1,5,5,55,0,1,0,0,0,0,0,0,1,0,0,9
7060002,3,1,5,2,50,0,1,0,1,0,0,0,0,1,0,1,12
7060003,2,1,5,5,25,0,1,0,0,1,0,0,0,1,0,1,12
7060004,4,1,5,5,23,0,1,0,0,1,0,0,0,0,0,1,12
7070002,0,1,5,4,78,1,0,0,1,0,0,0,0,0,0,1,6
7070003,5,3,4,4,41,0,1,0,0,0,0,0,0,1,0,0,12
7072102,2,4,5,3,42,1,0,0,1,0,0,0,0,1,0,1,6
7080003,2,4,5,5,38,1,0,0,0,1,0,0,0,1,0,1,12
7080004,4,4,5,3,40,0,0,0,1,0,0,0,0,1,0,0,6
7090002,2,1,5,5,38,0,1,0,0,0,0,0,0,1,0,0,12
7090005,5,5,5,4,34,0,0,0,1,0,0,0,0,1,0,1,9
7100002,5,2,4,4,72,0,1,0,0,0,0,0,1,0,0,1,6
7110004,4,5,5,5,43,1,0,0,0,0,0,0,0,1,0,0,12
7110005,5,4,5,5,42,0,1,0,0,0,0,0,0,1,0,1,12
7130001,2,2,5,5,47,0,0,0,0,0,0,0,0,1,0,0,9
7130002,2,4,4,3,47,1,0,0,1,0,0,0,0,1,0,1,9
7140001,5,1,5,5,61,0,1,0,0,0,0,0,0,1,0,0,9
7140002,5,5,5,5,65,0,0,0,0,0,0,0,0,1,0,1,12
7140004,4,5,5,4,32,1,0,0,1,0,0,0,0,0,0,1,15
7140005,1,1,2,5,27,0,0,1,0,1,0,0,0,0,0,0,16
7150002,3,5,5,5,74,1,0,0,0,0,0,0,1,0,0,1,6
7150004,5,1,5,5,43,0,1,0,0,0,0,0,1,0,0,1,12
7160001,4,5,5,5,58,1,0,0,0,0,0,0,0,1,0,0,6
7160002,4,1,5,5,57,0,1,0,0,0,0,0,0,1,0,1,6
7160006,5,5,5,5,27,0,0,0,0,0,0,0,0,0,0,0,12
7180001,5,4,5,5,62,0,1,0,0,0,0,0,0,1,0,0,6
7180002,0,5,5,5,60,1,0,0,0,0,0,0,0,1,0,1,6
7180003,5,4,5,5,34,0,1,0,0,0,0,0,0,0,0,0,6
7180004,5,5,5,5,32,0,0,0,0,0,0,0,0,0,0,1,12
7180005,4,1,5,5,26,0,1,0,0,0,0,0,0,0,0,0,12
7180007,4,5,2,5,22,1,0,1,0,1,0,0,0,0,0,0,12
